Experiment,Time,Block,Stream_Mesocosm,Treatment,Position,Chironomidae,Total_Decomposition,Microbial_Decomposition,Primary_production
Exp_3_Stream_Mesocosms,T1,D,15,NF,Upstream,85,0.033352639,0.03256858,2.26
Exp_3_Stream_Mesocosms,T1,D,15,NF,Middle,51,0.02420088,0.016869899,1.28
Exp_3_Stream_Mesocosms,T1,D,15,NF,Downstream,39,0.021297868,0.014732205,2.296666667
Exp_3_Stream_Mesocosms,T1,D,16,Sham,Upstream,86,0.03664157,0.03155701,4.24
Exp_3_Stream_Mesocosms,T1,D,16,Sham,Middle,162,0.036307878,0.030197429,2.843333333
Exp_3_Stream_Mesocosms,T1,D,16,Sham,Downstream,47,0.021202152,0.018465702,4.513333333
Exp_3_Stream_Mesocosms,T1,E,17,Sham,Upstream,68,0.030282274,0.02393886,4.846666667
Exp_3_Stream_Mesocosms,T1,E,17,Sham,Middle,101,0.032497317,0.030388178,7
Exp_3_Stream_Mesocosms,T1,E,17,Sham,Downstream,96,0.035511149,0.031880248,4.176666667
Exp_3_Stream_Mesocosms,T1,E,18,GH,Upstream,149,0.019933451,0.016364066,3.703333333
Exp_3_Stream_Mesocosms,T1,E,18,GH,Middle,119,0.020614102,0.016237079,3.663333333
Exp_3_Stream_Mesocosms,T1,E,18,GH,Downstream,99,0.027980501,0.029412172,3.906666667
Exp_3_Stream_Mesocosms,T1,E,19,GH_LD,Upstream,166,0.018613276,0.01748769,3.18
Exp_3_Stream_Mesocosms,T1,E,19,GH_LD,Middle,167,0.031955021,0.029027925,2.553333333
Exp_3_Stream_Mesocosms,T1,E,19,GH_LD,Downstream,404,0.039436507,0.034942964,2.8
Exp_3_Stream_Mesocosms,T1,E,20,NF,Upstream,103,0.025554633,0.02215319,2.22
Exp_3_Stream_Mesocosms,T1,E,20,NF,Middle,167,0.028549771,0.019411285,3.213333333
Exp_3_Stream_Mesocosms,T1,E,20,NF,Downstream,329,0.025054984,0.022749547,2.163333333
Exp_3_Stream_Mesocosms,T2,A,1,Sham,Upstream,32,0.014571195,0.011931882,4.753333333
Exp_3_Stream_Mesocosms,T2,A,1,Sham,Middle,37,0.028944742,0.022462638,1.866666667
Exp_3_Stream_Mesocosms,T2,A,1,Sham,Downstream,32,0.026449814,0.023154651,3.183333333
Exp_3_Stream_Mesocosms,T2,A,2,GH,Upstream,49,0.015065514,0.009183884,4.246666667
Exp_3_Stream_Mesocosms,T2,A,2,GH,Middle,56,0.026794399,0.022413058,2.063333333
Exp_3_Stream_Mesocosms,T2,A,2,GH,Downstream,44,0.027010522,0.021448443,5.04
Exp_3_Stream_Mesocosms,T2,A,3,GH_LD,Upstream,45,0.027220244,0.022363407,6.62
Exp_3_Stream_Mesocosms,T2,A,3,GH_LD,Middle,40,0.015112546,0.011701644,5.17
Exp_3_Stream_Mesocosms,T2,A,3,GH_LD,Downstream,35,0.015614159,0.017527632,4.11
Exp_3_Stream_Mesocosms,T2,A,4,NF,Upstream,34,0.02382483,0.019420807,4.263333333
Exp_3_Stream_Mesocosms,T2,A,4,NF,Middle,20,0.018372985,0.012247557,5.44
Exp_3_Stream_Mesocosms,T2,A,4,NF,Downstream,41,0.017723279,0.014718453,4.233333333
Exp_3_Stream_Mesocosms,T2,B,5,NF,Upstream,25,0.01413233,0.013943527,4.383333333
Exp_3_Stream_Mesocosms,T2,B,5,NF,Middle,25,0.02513612,0.019903253,6.523333333
Exp_3_Stream_Mesocosms,T2,B,5,NF,Downstream,31,0.014279797,0.012431465,5.3
Exp_3_Stream_Mesocosms,T2,B,6,Sham,Upstream,46,0.01506353,0.011422914,5.303333333
Exp_3_Stream_Mesocosms,T2,B,6,Sham,Middle,34,0.013943527,0.011521577,5.65
Exp_3_Stream_Mesocosms,T2,B,6,Sham,Downstream,29,0.013366015,0.013747043,2.073333333
Exp_3_Stream_Mesocosms,T2,B,7,GH,Upstream,58,0.01370347,0.008774618,5.48
Exp_3_Stream_Mesocosms,T2,B,7,GH,Middle,41,0.015457926,0.011965961,5.21
Exp_3_Stream_Mesocosms,T2,B,7,GH,Downstream,20,0.010739761,0.008415156,3.336666667
Exp_3_Stream_Mesocosms,T2,B,8,GH_LD,Upstream,24,0.01244404,0.011916523,4.993333333
Exp_3_Stream_Mesocosms,T2,B,8,GH_LD,Middle,65,0.013801433,0.010908949,3.57
Exp_3_Stream_Mesocosms,T2,B,8,GH_LD,Downstream,48,0.01364838,0.010629883,4.953333333
Exp_3_Stream_Mesocosms,T2,C,9,GH_LD,Upstream,35,0.026172843,0.017660426,4.983333333
Exp_3_Stream_Mesocosms,T2,C,9,GH_LD,Middle,16,0.020264648,0.016735563,6.223333333
Exp_3_Stream_Mesocosms,T2,C,9,GH_LD,Downstream,13,0.01678451,0.016796662,6.566666667
Exp_3_Stream_Mesocosms,T2,C,10,NF,Upstream,19,0.015657826,0.016076812,4.023333333
Exp_3_Stream_Mesocosms,T2,C,10,NF,Middle,4,0.025355032,0.019724729,3.496666667
Exp_3_Stream_Mesocosms,T2,C,10,NF,Downstream,23,0.016698139,0.015016148,5.353333333
Exp_3_Stream_Mesocosms,T2,C,11,Sham,Upstream,14,0.016175334,0.012296783,4.966666667
Exp_3_Stream_Mesocosms,T2,C,11,Sham,Middle,20,0.011950716,0.011864692,6.286666667
Exp_3_Stream_Mesocosms,T2,C,11,Sham,Downstream,28,0.025898079,0.019645451,6.206666667
Exp_3_Stream_Mesocosms,T2,C,12,GH,Upstream,31,0.014373869,0.010188105,6.18
Exp_3_Stream_Mesocosms,T2,C,12,GH,Middle,33,0.014523083,0.013407902,4.236666667
Exp_3_Stream_Mesocosms,T2,C,12,GH,Downstream,16,0.026729029,0.016183875,4.58
Exp_3_Stream_Mesocosms,T2,D,13,GH,Upstream,43,0.017808527,0.013549434,3.433333333
Exp_3_Stream_Mesocosms,T2,D,13,GH,Middle,34,0.025846247,0.020927122,3.566666667
Exp_3_Stream_Mesocosms,T2,D,13,GH,Downstream,35,0.024770896,0.020595238,4.98
Exp_3_Stream_Mesocosms,T2,D,14,GH_LD,Upstream,60,0.013471374,0.009747989,3.776666667
Exp_3_Stream_Mesocosms,T2,D,14,GH_LD,Middle,46,0.011783993,0.014916062,3.496666667
Exp_3_Stream_Mesocosms,T2,D,14,GH_LD,Downstream,14,0.011947074,0.009676503,5.253333333
Exp_3_Stream_Mesocosms,T2,D,15,NF,Upstream,24,0.025996883,0.022859925,3.99
Exp_3_Stream_Mesocosms,T2,D,15,NF,Middle,15,0.017167962,0.013747043,4.983333333
Exp_3_Stream_Mesocosms,T2,D,15,NF,Downstream,10,0.021589116,0.013185633,3.373333333
Exp_3_Stream_Mesocosms,T2,D,16,Sham,Upstream,50,0.017118666,0.015718023,5.41
Exp_3_Stream_Mesocosms,T2,D,16,Sham,Middle,35,0.023560096,0.017692062,4.166666667
Exp_3_Stream_Mesocosms,T2,D,16,Sham,Downstream,27,0.014184578,0.010285053,4.583333333
Exp_3_Stream_Mesocosms,T2,E,17,Sham,Upstream,38,0.024491267,0.022068965,3.496666667
Exp_3_Stream_Mesocosms,T2,E,17,Sham,Middle,13,0.024638524,0.021681948,6.39
Exp_3_Stream_Mesocosms,T2,E,17,Sham,Downstream,19,0.027629936,0.02182527,3.293333333
Exp_3_Stream_Mesocosms,T2,E,18,GH,Upstream,36,0.024949698,0.018730781,7.313333333
Exp_3_Stream_Mesocosms,T2,E,18,GH,Middle,50,0.014475444,0.012900633,6.286666667
Exp_3_Stream_Mesocosms,T2,E,18,GH,Downstream,33,0.027268983,0.021687078,5.616666667
Exp_3_Stream_Mesocosms,T2,E,19,GH_LD,Upstream,71,0.026193647,0.025305523,5.053333333
Exp_3_Stream_Mesocosms,T2,E,19,GH_LD,Middle,27,0.021054912,0.013943527,5.986666667
Exp_3_Stream_Mesocosms,T2,E,19,GH_LD,Downstream,85,0.014083033,0.014718453,5.383333333
Exp_3_Stream_Mesocosms,T2,E,20,NF,Upstream,69,0.020546082,0.009843275,5.013333333
Exp_3_Stream_Mesocosms,T2,E,20,NF,Middle,91,0.016331976,0.012064624,5.056666667
Exp_3_Stream_Mesocosms,T2,E,20,NF,Downstream,110,0.019224882,0.018438762,4.376666667
