Experiment,Block,Stream_Mesocosm,Treatment,Position,Filamentous_Algae
Exp_3_Stream_Mesocosms,C,12,GH,B,0.65
Exp_3_Stream_Mesocosms,C,12,GH,C,0.7
Exp_3_Stream_Mesocosms,C,12,GH,D,0.55
Exp_3_Stream_Mesocosms,C,12,GH,E,0.6
Exp_3_Stream_Mesocosms,C,12,GH,F,0.625
Exp_3_Stream_Mesocosms,D,13,GH,A,0.9
Exp_3_Stream_Mesocosms,D,13,GH,B,0.8
Exp_3_Stream_Mesocosms,D,13,GH,C,0.675
Exp_3_Stream_Mesocosms,D,13,GH,D,0.925
Exp_3_Stream_Mesocosms,D,13,GH,E,0.8
Exp_3_Stream_Mesocosms,D,13,GH,F,0.775
Exp_3_Stream_Mesocosms,D,14,GH_LD,A,0.55
Exp_3_Stream_Mesocosms,D,14,GH_LD,B,0.65
Exp_3_Stream_Mesocosms,D,14,GH_LD,C,0.5
Exp_3_Stream_Mesocosms,D,14,GH_LD,D,0.65
Exp_3_Stream_Mesocosms,D,14,GH_LD,E,0.5
Exp_3_Stream_Mesocosms,D,14,GH_LD,F,0.675
Exp_3_Stream_Mesocosms,D,15,NF,A,0.925
Exp_3_Stream_Mesocosms,D,15,NF,B,0.8
Exp_3_Stream_Mesocosms,D,15,NF,C,0.875
Exp_3_Stream_Mesocosms,D,15,NF,D,0.95
Exp_3_Stream_Mesocosms,D,15,NF,E,0.925
Exp_3_Stream_Mesocosms,D,15,NF,F,0.875
Exp_3_Stream_Mesocosms,D,16,SHAM,A,0.9
Exp_3_Stream_Mesocosms,D,16,SHAM,B,0.85
Exp_3_Stream_Mesocosms,D,16,SHAM,C,0.775
Exp_3_Stream_Mesocosms,D,16,SHAM,D,0.85
Exp_3_Stream_Mesocosms,D,16,SHAM,E,0.775
Exp_3_Stream_Mesocosms,D,16,SHAM,F,0.825
Exp_3_Stream_Mesocosms,E,17,SHAM,A,0.8
Exp_3_Stream_Mesocosms,E,17,SHAM,B,0.725
Exp_3_Stream_Mesocosms,E,17,SHAM,C,0.9
Exp_3_Stream_Mesocosms,E,17,SHAM,D,0.925
Exp_3_Stream_Mesocosms,E,17,SHAM,E,0.825
Exp_3_Stream_Mesocosms,E,17,SHAM,F,0.8
Exp_3_Stream_Mesocosms,E,18,GH,A,0.9
Exp_3_Stream_Mesocosms,E,18,GH,B,0.95
Exp_3_Stream_Mesocosms,E,18,GH,C,0.725
Exp_3_Stream_Mesocosms,E,18,GH,D,0.75
Exp_3_Stream_Mesocosms,E,18,GH,E,0.85
Exp_3_Stream_Mesocosms,E,18,GH,F,0.925
Exp_3_Stream_Mesocosms,E,19,GH_LD,A,0.775
Exp_3_Stream_Mesocosms,E,19,GH_LD,B,0.825
Exp_3_Stream_Mesocosms,E,19,GH_LD,C,0.95
Exp_3_Stream_Mesocosms,E,19,GH_LD,D,0.975
Exp_3_Stream_Mesocosms,E,19,GH_LD,E,0.7
Exp_3_Stream_Mesocosms,E,19,GH_LD,F,0.8
Exp_3_Stream_Mesocosms,E,20,NF,A,0.95
Exp_3_Stream_Mesocosms,E,20,NF,B,1
Exp_3_Stream_Mesocosms,E,20,NF,C,0.9
Exp_3_Stream_Mesocosms,E,20,NF,D,0.85
Exp_3_Stream_Mesocosms,E,20,NF,E,0.85
Exp_3_Stream_Mesocosms,E,20,NF,F,0.875
